taxon,individual,latitude,longitude
erigeron_glaucus,1,40.89445,-124.14493
solidago_spathulata,1,40.89445,-124.14493
erigeron_glaucus,2,40.89437,-124.14501
solidago_spathulata,2,40.89437,-124.14501
erigeron_glaucus,3,40.89431,-124.1452
solidago_spathulata,3,40.89431,-124.1452
erigeron_glaucus,4,40.89426,-124.14538
solidago_spathulata,4,40.89426,-124.14538
erigeron_glaucus,5,40.89439,-124.14508
solidago_spathulata,5,40.89439,-124.14508
erigeron_glaucus,6,40.89457,-124.14507
solidago_spathulata,6,40.89457,-124.14507
erigeron_glaucus,7,40.89471,-124.14505
solidago_spathulata,7,40.89471,-124.14505
erigeron_glaucus,8,40.89486,-124.14502
solidago_spathulata,8,40.89486,-124.14502
erigeron_glaucus,9,40.89497,-124.14501
solidago_spathulata,9,40.89497,-124.14501
erigeron_glaucus,10,40.8951,-124.14511
solidago_spathulata,10,40.8951,-124.14511
erigeron_glaucus,11,40.89492,-124.14509
solidago_spathulata,11,40.89492,-124.14509
erigeron_glaucus,12,40.89484,-124.14514
solidago_spathulata,12,40.89484,-124.14514
erigeron_glaucus,13,40.89553,-124.13315
solidago_spathulata,13,40.89553,-124.13315
erigeron_glaucus,14,40.89371,-124.14616
solidago_spathulata,14,40.89371,-124.14616
erigeron_glaucus,15,40.89389,-124.14622
solidago_spathulata,15,40.89389,-124.14622
erigeron_glaucus,16,40.89393,-124.14645
solidago_spathulata,16,40.89393,-124.14645
erigeron_glaucus,17,40.89517,-124.14857
solidago_spathulata,17,40.89517,-124.14857
erigeron_glaucus,18,40.89289,-124.1464
solidago_spathulata,18,40.89289,-124.1464
erigeron_glaucus,19,40.89086,-124.14738
solidago_spathulata,19,40.89086,-124.14738
erigeron_glaucus,20,40.89081,-124.14725
solidago_spathulata,20,40.89081,-124.14725
erigeron_glaucus,21,40.89069,-124.14733
solidago_spathulata,21,40.89069,-124.14733
erigeron_glaucus,22,40.89059,-124.14727
solidago_spathulata,22,40.89059,-124.14727
erigeron_glaucus,23,40.89083,-124.14711
solidago_spathulata,23,40.89083,-124.14711
erigeron_glaucus,24,40.89067,-124.14707
solidago_spathulata,24,40.89067,-124.14707
erigeron_glaucus,25,40.89029,-124.14706
solidago_spathulata,25,40.89029,-124.14706
erigeron_glaucus,26,40.89058,-124.14671
solidago_spathulata,26,40.89058,-124.14671
erigeron_glaucus,27,40.89046,-124.14668
solidago_spathulata,27,40.89046,-124.14668
erigeron_glaucus,28,40.89032,-124.14651
solidago_spathulata,28,40.89032,-124.14651
erigeron_glaucus,29,40.89003,-124.14638
solidago_spathulata,29,40.89003,-124.14638
solidago_spathulata,30,40.89396,-124.14574
solidago_spathulata,31,40.8946,-124.14463
solidago_spathulata,32,40.89536,-124.14474
solidago_spathulata,33,40.89557,-124.14485
solidago_spathulata,34,40.89589,-124.14438
morella_californica,35,40.89514,-124.14438
erigeron_glaucus,36,40.8889,-124.14697
solidago_spathulata,36,40.8889,-124.14697
erigeron_glaucus,37,40.88895,-124.14659
solidago_spathulata,37,40.88895,-124.14659
erigeron_glaucus,38,40.88975,-124.14648
solidago_spathulata,38,40.88975,-124.14648
erigeron_glaucus,39,40.8896,-124.14648
solidago_spathulata,39,40.8896,-124.14648
erigeron_glaucus,40,40.88957,-124.14632
solidago_spathulata,40,40.88957,-124.14632
erigeron_glaucus,41,40.88923,-124.14617
solidago_spathulata,41,40.88923,-124.14617
erigeron_glaucus,42,40.88904,-124.14592
solidago_spathulata,42,40.88904,-124.14592
erigeron_glaucus,43,40.8858,-124.14561
solidago_spathulata,43,40.8858,-124.14561
erigeron_glaucus,44,40.88881,-124.14556
solidago_spathulata,44,40.88881,-124.14556
erigeron_glaucus,45,40.88902,-124.14545
solidago_spathulata,45,40.88902,-124.14545
erigeron_glaucus,46,40.88932,-124.14574
solidago_spathulata,46,40.88932,-124.14574
erigeron_glaucus,47,40.88957,-124.14577
solidago_spathulata,47,40.88957,-124.14577
erigeron_glaucus,48,40.88984,-124.14589
solidago_spathulata,48,40.88984,-124.14589
erigeron_glaucus,49,40.89008,-124.14598
solidago_spathulata,49,40.89008,-124.14598
erigeron_glaucus,50,40.89054,-124.14613
solidago_spathulata,50,40.89054,-124.14613
erigeron_glaucus,51,40.89377,-124.14677
solidago_spathulata,51,40.89377,-124.14677
solidago_spathulata,52,40.89438,-124.14737
solidago_spathulata,53,40.89436,-124.14751
erigeron_glaucus,54,40.89468,-124.14889
solidago_spathulata,54,40.89468,-124.14889
erigeron_glaucus,55,40.89451,-124.1489
solidago_spathulata,55,40.89451,-124.1489
erigeron_glaucus,56,40.89455,-124.14915
solidago_spathulata,56,40.89455,-124.14915
erigeron_glaucus,57,40.89477,-124.14918
solidago_spathulata,57,40.89477,-124.14918
erigeron_glaucus,58,40.89508,-124.14888
solidago_spathulata,58,40.89508,-124.14888
solidago_spathulata,59,40.89428,-124.14491
solidago_spathulata,60,40.89396,-124.14493
solidago_spathulata,61,40.89362,-124.14479
solidago_spathulata,62,40.89388,-124.14445
solidago_spathulata,63,40.89228,-124.14689
solidago_spathulata,64,40.89214,-124.14698
solidago_spathulata,65,40.89188,-124.14697
solidago_spathulata,66,40.8915,-124.14722
solidago_spathulata,67,40.89172,-124.14755
solidago_spathulata,68,40.89185,-124.14767
solidago_spathulata,69,40.89198,-124.14776
solidago_spathulata,70,40.89121,-124.14755
solidago_spathulata,71,40.89131,-124.14777
solidago_spathulata,72,40.89149,-124.1479
solidago_spathulata,73,40.89159,-124.14842
erigeron_glaucus,74,40.89269,-124.14918
solidago_spathulata,74,40.89269,-124.14918
erigeron_glaucus,75,40.89294,-124.14939
solidago_spathulata,75,40.89294,-124.14939
erigeron_glaucus,76,40.89183,-124.14588
solidago_spathulata,76,40.89183,-124.14588
solidago_spathulata,77,40.89272,-124.14568
solidago_spathulata,78,40.89229,-124.1441
solidago_spathulata,79,40.89208,-124.14403
solidago_spathulata,80,40.89182,-124.14398
solidago_spathulata,81,40.89155,-124.14381
